sentence,intent
em cảm ơn a.c nhé,Bye
chỉ tiêu xét tuyển năm 2018 ngành mis là bao nhiều vậy ad,Admission_method
mã đăng ký ngành kinh doanh qt năm nay là gì ạ?,Major_infor
thi placement test là thi những gì ạ,Eng_condition
tổng giá trị học bổng cho 1 ngành là bn ạ?,Scholar
ad cho em hỏi trường mình xét tuyển bằng điểm kì thi thpt quốc gia năm ngoái lấy bao nhiêu điểm,Basic_point
tham gia nckh thì em đc ưu tiên những gì ạ?,Student_research
"ad gửi, gửi cho em mẫu đơn xin mail khoa vs ạ",Asking_docs
a ơi cho e hỏi thi level có chương trình học bổng gì ko a?,Scholar
"ad ơi, nhập học từ hôm t2 rồi thì hnay nhà trg có nhận hồ sơ nữa k ạ?", Enrollment
e còn muốn hỏi là sau khi em học xong ngành kinh doanh quốc tế em có thể xin được những việc làm gì,Job_Opportunities
"ad ơi, tháng mấy thì chúng em phải nộp báo cáo tiến độ ạ?",Student_research
"ad ơi, em muốn hỏi các thông tin về các ngành thuộc chương trình lk tại khoa ạ?",Major_infor
vâng ad cho e hỏi chỉ tiêu năm nay của khoa này với ạ,Admission_method
nếu k phải học sinh trường chuyên thì có đc xét tuyển thẳng vào khoa k ạ?,Admission_method
e tưởng ngành kinh doanh quốc tế là do đại học nào cấp bằng ạ ?,Major_infor
"em có ghi nhầm thông tin cá nhân vậy ai có thể giúp e giải quyết việc này ạ, ad cho em xin cách ll vs ?", Enrollment
học bổng địa phương là gì ạ?,Scholar
"ad cho em hỏi sdt các thầy cô dạy triết 1 với ạ, em cảm ơn",contact_point
thời gian học 1 kỳ trong bao lâu ạ,Major_infor
học bổng dành cho thủ khoa tốt nghieeph xuất sắc là bao nhiêu vây ad,Scholar
"ad ơi, gửi cho em xin lộ trình nckh năm trước vs ạ?",Student_research
do đối tác cấp bằng thì học phí bao nhiêu ạ,Tuition_fee
em là sinh viên đỗ đợt xét tuyển bổ sung thì làm thủ tục nhập học như thế nào ạ?, Enrollment
sao cơ,Denydisagree
cho e hỏi cái cử nhân quản lý thì sẽ được đào tạo ở đâu ạ,School_infor
cho em hỏi thủ khoa xuất sắc kì tuyển sinh mùa thu thì đc bn tiền ạ?,Scholar
a/c ơi khi nào có kết quả bảo vệ đề tài nckh ạ?,Student_research
học bổng xuất sắc thì những hạng naog ạ?,Scholar
có đề tài nào liên quan đến lĩnh vực trí tuệ nhân tạo k ạ?,Student_research
1 tín ngành kế toán trong khoảng bao nhieu ạ,Tuition_fee
cái ngành kinh doanh quốc tế vs kế toán phân tích kiểm toán là ngành của đhqg cấp băngf đúng o ạ,Major_infor
ac là do trường nào cấp bằng thế ạ,Major_infor
hnay e nhận đc quyển sổ gthieu về khoa mình và e rất thích thú ad có thể tư vấn cho e đc k ạ,Greetings
ad k hiểu ý,Denydisagree
em có được ưu tiên khi xét học bổng trong và ngoài đhqg khi tham gia nckh k ạ?,Student_research
khoa có hỗ trợ kinh phí khi có sinh viên chuyển tiếp không ạ,Major_infor
"ad ơi, em có thắc mắc về hồ sơ nhập học thì phải liên hệ vs ai ạ?", Enrollment
học phí ngành kinh doanh quốc tế là bn ak,Tuition_fee
địa chỉ nhập học ngày 1.8 là ở đâu vậy ạ?, Enrollment
các trường đối tác yêu cầu những đk gì để được chuyển tiếp ạ,Major_infor
cho em hỏi về mức phí khi chuyển tiếp vs ạ,Major_infor
cơ hội việc làm ac như tn,Job_Opportunities
ad liist cho em tất cả những hồ sơ cần thiết để nhập học vs ạ, Enrollment
khoa mình còn xét tuyển bs cho ngành ac k ạ? nếu còn thì bn chỉ tiêu ạ?,Admission_method
chán ad quá,Denydisagree
"ad ơi, em có thể học song bằng những ngành nào ạ?",Major_infor
"iu admin, tạm biệt ad nhé",Bye
ngày nào bắt đầu ktra placement test vậy a,Eng_condition
ad cho em hỏi,Greetings
những ngành nào thì dc chuyển tiếp thé ad,Major_infor
"ad ơi, thàng mấy thì em phải nộp báo cáo tổng kết nckh ạ?",Student_research
chỉ tiêu ngành tin học và kĩ thuật máy tính năm 2017 là bao nhiêu vậy ad?,Admission_method
khoa ơi cho em hỏi thông tin về điểm chuẩn ngành hệ thống thoongtin năm 2017 với ak,Basic_point
điểm tuyển sinh bao nhiêu ạ,Basic_point
mình k hiểu học bổng lê xuân anh là như thế nào?,Scholar
cho em hỏi về bố cục 1 bài thi  placement test,Eng_condition
học khoa mình thì em có cơ hội được chuyển tiếp đi học ở những trường nào,Major_infor
em muốn học chuyển tiếp thì cần những gì ạ?,Major_infor
ad ơi em bảo này,Greetings
có mấy bước nhập học nhờ ad tư vấn giúp em nhé, Enrollment
ad ơi cho e hỏi xin sđt văn phòng vs  mà của bên quản lí help để đk nhập học ạ, Enrollment
ngành mis học các môn nào ad ơi,Major_infor
khoa thành lập lâu chưa,School_infor
ad cho em hỏi,Greetings
đúng vấn đề em muốn hỏi rồi ạ,Agree
vâng ạ. em cảm ơn ạ !,Bye
ngày 24/7 có phải ngày thành lập của khoa ko nhỉ,School_infor
cho em hỏi về thời gian học của khoa học quản lí ạ,Major_infor
"ad ơi, các giấy tờ nhập học cần thiết cho đợt nhập học 1/8 này là gì ạ?", Enrollment
"bạn ơi, chuẩn ý mình rồi",Agree
nưm đầu học ở cầu giấy hay thanh xuân ạ,School_infor
là sao hả ad,Denydisagree
"ad ơi, khi em tham gia nckh thì kho có những hỗ trợ ntn ạ?",Student_research
chuyên ngành kinh doanh quốc tế ( đào tạo tiếng anh) của khoa mình thì học những gì và ra làm những gì ạ?,Job_Opportunities
"ad ơi, cho em xin đơn xin nhập học trở lại sau bảo lưu",Asking_docs
học bổng địa phương là sao ạ,Scholar
"ad ơi, ngành ngôn ngữ hàn là chương trình bằng kép đúng k ạ",Major_infor
ad cho e hỏi học phí của khoa ntn đi ạ?,Tuition_fee
học phí chuyển tiếp tổng 2 năm của trg đh help là bn thế ạ?,Major_infor
muốn liên hệ vs thầy tuấn thì gọi số nào ạ,contact_point
"ad ơi, gửi cho em danh sách lộ trình nckh năm nay vs ạ?",Student_research
tiêu chuẩn để xét học bổng khoa mình là gì ạ?,Scholar
cho em hỏi học phí khoa mình ntn ạ ?,Tuition_fee
ngành ké toán thì mẫ ngành là gì ạ,Major_infor
ok nhé,Agree
ngành ib,Other
"a/c ơi, cho em xin học phí chuyển tiếp của trg đh help vs",Major_infor
trong bài thi tiếng anh kỹ năng đọc chiếm bao nhiêu điểm ạ ?,Eng_condition
cho e hỏi thời gian các tiết học là mấy giờ ạ?,Other
"ad cho em hỏi, thời gian nhập học chính xác của ngành ice với ạ", Enrollment
muốn liên hệ vs phòng tuyển sinh thì gọi cho ai ạ,contact_point
em chào ad ạ. ad cho em hỏi khoa quốc tế của trường xét tuyển bằng hình thức nào ạ? em cảm ơn ạ,Admission_method
chỉ tiêu năm ngoái trường mình lấy bao nhiêu vậy ạ?,Admission_method
khoa mình có những ngành nào là thuộc chương trình do đh quốc gia cấp bằng ạ?,Major_infor
"ad ơi, làm thế nào thì đc nhận học bổng ?",Scholar
em đợi lâu quá cho em hỏi điểm trúng tuyển ngành hệ thông thoog tin quản lí với ạ,Basic_point
1 tín chỉ năm ngoái là baao nhiêu tiền ạ ?,Tuition_fee
ad oi cho minh hoi mau ho so dki tuyen sinh nam nay co tren web cua truog chua a ??,Asking_docs
"ad ơi, em muốn xét tuyển vào ngành ib thì có thể lấy điểm đgnl để xét k ạ?",Admission_method
ngành ngôn ngữ anh là chương trình bằng kép của khoa mình phải k ạ?,Major_infor
check xong thông tin chưa ạ,Other
bài thi tiếng anh gồm những phần nào,Eng_condition
chuẩn chuẩn,Agree
ad trả lời nhầm câu hỏi của e rồi,Denydisagree
muốn hỏi về tiền học thì gọi cho ai ạ,contact_point
em muốn hỏi học xong kdqt làm gì ạ,Job_Opportunities
"a/c ơi, thủ tục nhập học của khoa mình có phức tạp k vậy ạ?", Enrollment
em đạt giải nhất học sinh giỏi cáp tỉnh thì đc học bổng có giá trị là bn ạ?,Scholar
cho em xin địa chỉ liên lạc với người có thể giải đáp thắc mắc về vấn đề nhâp học ạ?, Enrollment
khoa mình được thành lập vào ngày cụ thể nào ạ,School_infor
ai có thể giải đáp chi tiết về vấn đề nhập học của ngành ib ạ, Enrollment
em muốn hỏi một chút về các ngành học của khoa ý,Major_infor
những môn nào mis và ib có thể học chung vậy ạ,Major_infor
chiều thì làm thủ tục nhập học từ mấy giờ vậy ad, Enrollment
ad có thể cho em biết làm thế nào để xin học bổng hỗ trợ học phí địa phương với sinh viên không ak?,Scholar
gvnn thường dạy bao nhiêu % số môn hả ad,Major_infor
chỉ tiêu dự kiến ngành ib va ac năm này là ntn vậy ạ?,Admission_method
sdt phòng tuyển sinh là số nào vậy,contact_point
"a/c ơi, gửi cho em lội trình nckh vs ạ?",Student_research
năm nay e lên lớp 12 và e rất quan tâm đến ngành quản trị khách sạn ạ anh chị có thể tư vấn cho e được ko ạ,Major_infor
hiện tại trong tuần này em chưa thể lên hà nội do gia đình có việc bận ạ. em thấy trên thông báo nhà trường ghi là hạn nộp đến 30 tháng 11 thì em xin nộp sau có được không ạ?, Enrollment
số lượng xét tuyển thẳng năm 2018 là bao nhiêu ạ?,Admission_method
nhà e thuộc cơ sở nào vây ạ,School_infor
ad ơi. điểm chuẩn cao nhất khoa quốc tế của trường là bao nhiêu vậy ạ,Basic_point
ad cho em hỏi kdqt thì mình học về gì ạ .,Major_infor
thày cô cho em hỏi thủ tục nhập học của khoa mình vs ạ?, Enrollment
nhập học thì gồm những thủ tục gì ạ, Enrollment
lààm thé nào để đc học bổng covalevxkaya,Scholar
năm ngoái học bổng cho thủ khoa đầu vào là bao nhiêu điểm ạ?,Scholar
giá trị học bổng cho thủ khoa đầu vào là bao nhiêu ạ?,Scholar
"thanks ad nhiều, bye",Bye
điểm chuẩn của khoa năm nay là bao nhiêu ạ,Basic_point
trường mình có 2 cơ sở thì muốn học ở đâu cũng dc ạ,School_infor
làm thủ tục nhập học thì có phải đến trg k ạ, Enrollment
thời gian nhận hồ sơ xét tuyển thẳng là 1/8 phải k ạ?,Admission_method
mình muốn đc tư vấn,Greetings
ad ơi cho em hỏi nếu em tham gia nckh thì em sẽ có đc những lowin thế gì ạ?,Student_research
cho em xin sđt của người quản lí ngành ib ?, Enrollment
trường đh keuke có quy chế xét tuyển thẳng thế nào ak?,Admission_method
giảng viên nước ngoài ở khoa mình dạy ở các trường đại học nào ạ,Major_infor
hellu,Greetings
"mình có con gái đang học lớp 12, muốn được tư vấn về chương trình học của trường.",Major_infor
cho em hỏi số đt phòng tuyển sinh để em xin tư vấn ạ,contact_point
trị giá của từng loại học bổng trong và ngoài trg ntn vậy ad.,Scholar
dạ cho em hỏi kinh doanh quốc tế là gì ạ,Major_infor
được giải nhất nckh thì đc học bổng là bn ạ?,Scholar
hình thức bài thi placement test vẫn như năm ngoái đúng ko ạ,Eng_condition
hồ sơ nộp vào khoa gồm những j ạ?, Enrollment
của quốc gia cấp bằng,Other
ai có thể giải đáp chi tiết về vấn đề nhập học của ngành ac ạ, Enrollment
học bổng ngoài đhqg là như thế nào ạ?,Scholar
học phí của khoa kinh doanh quốc tế là bao nhiêu 1 năm vậy ạ ? em cảm ơn ạ và mong anh chị tư vấn ạ,Tuition_fee
"ad ơi, ad cho em xin các đề tài nckh năm 2016 vs ạ?",Student_research
"ad ơi, de tài nckh thì đăng trên web của khoa ạ?",Student_research
có học bổng dành cho thủ khoa đầu vào k ạ?,Scholar
hoọc kinh doanh qt thì cơ hội việc làm thế nào ạ ?,Job_Opportunities
cho em hỏi học bổng dành cho hs đạt thành tích xuất sắc trong các hoạt động xã hội là bn ạ?,Scholar
add có thể trả lời các câu hỏi của em được không ạ?,Other
diều kiện tiếng anh như thế nào thì được chuyển tiếp,Major_infor
tầm bao nhiêu thì đỗ được kế toán kiểm toán ạ,Basic_point
"ad ơi, năm nay khoa mình công bố các đề tài nckh chưa ạ",Student_research
những yêu cầu chung để được chuyển tiếp là gì ạ,Major_infor
vâng thế e nộp hồ sơ xong thì bao giờ mới bắt đầu đi học ạ?, Enrollment
ad ơi địa chỉ trường mình là gì vậy ạ,School_infor
bao giờ em được nhập học ạ, Enrollment
"ad cho e hỏi là, khi học khoa quốc tế thì mình học ở bên cầu giấy hay bên thanh xuân ạ???",School_infor
trị giá cho mỗi suất học bổng lệ anh xuân là bao nhiêu vậy ad?,Scholar
nhưng em phải học tiếng anh trước khi vào học chuyên ngành ạ,Other
em hỏi ý khác mà,Denydisagree
thủ tuc đk nhập học là ntn vậy ạ, Enrollment
danh sách đề tài nckh là ntn vậy ạ?,Student_research
ad ơi cho e hỏi các hình thức đk xét bổ sung với ạ ?,Admission_method
"ad ơi, gửi em danh sách đề tài nckh năm 2019 vs ạ?",Student_research
với cả học quản lí chỉ tiêu bao nhiêu người ạ,Admission_method
thành tích hoạt động ngoại khóa của e là sx thì có đc cất nhắc để nhận học bổng k ạ?,Scholar
ad ơi cho em hỏi cách thức ll vs chị quản lí nhập học ngành mis ạ?, Enrollment
học phí mỗi tín chỉ ac là bai nhiêu,Tuition_fee
k,Denydisagree
chương trình liên kết với đại học keuke có điều kiện xét tuyển thẳng ntn ?,Admission_method
có phải tham gia nckh là đc cộng 5 điểm rèn luyện thôi ạ?,Student_research
nhập học thì đến địa chỉ nhà c làng sinh viên hacinco đấy ạ?, Enrollment
từ năm 2010 đến nay khoa đãcungc ấp bao nhiêu học bổng cho sinh viên ạ?,Scholar
nguồn giảng viên nước ngoài khoa mình mời ở đâu ạ,Major_infor
"bạn ơi, cho mình hỏi đk xét tuyển thẳng vào khoa mình với ạ?",Admission_method
cho em xin số của anh quản lí clb tình nguyện ạ,contact_point
mã ngành có thày đổi không admin ?,Major_infor
năm nay chỉ tiêu bn ạ,Admission_method
ad tl đúng câu hỏi của e rồi đó,Agree
bước sau khi đk nckh là gì vậy ad?,Student_research
"chưa ạ...thế là vừa xét tuyển học bạ,vừa xét tuyển nguyện vọng của kì thi thpt quốc gia ạ?",Admission_method
"ad ơi, gửi cho em thông tin các ngành thuộc chương trình bằng kép của khoa mình đc k ạ?",Major_infor
mãi ad mới hiểu,Agree
mỗi môn có bao tín chỉ ạ và số tiền 1 tín chỉ là bao nhieu thế ak,Tuition_fee
báo cáo tiến độ thì phải nộp vào tháng mấy năm nay ạ?,Student_research
sdt phòng đào tạo như thế nào vậy ak,contact_point
2 ad,Greetings
"em chào anh-chị ạ, cho em hỏi học phí khoa quốc tế là bao nhiêu ạ",Tuition_fee
học phí 1 năm ủa khoa là bao nhiêu ạ,Tuition_fee
năm nay thì bao tiền 1 tín chỉ thế chị,Tuition_fee
a.c cho em xin mẫu form chứng minh đk tham gia nghiên cứu khoa học ạ,Asking_docs
"chỉ những thí sinh đoạt giải nhất, nhì, ba trong kỳ thi chọn học sinh giỏi quốc gia do bộ giáo dục và đào tạo tổ chức  mới đc xét tuyển thẳng vào khoa mình ạ",Admission_method
em thắc mắc về thủ tục nhập học thì liên lạc đến sđt nào ạ, Enrollment
ad ơi trường mình khi nào có điểm chuẩn ạ ??,Basic_point
có tất cả bao nhiêu môn chung ạ,Major_infor
"a/c ơi, cho em xin lộ trình báo cáo tiến độ năm nay vs ạ?",Student_research
"ad ơi, năm nay có bao nhiêu suất học bổng thủ khoa ạ?",Scholar
lịch học chiều là từ mấy h ạ,Other
tham gia nckh thì e đc những j ạ?,Student_research
không phải ý đó,Denydisagree
gửi cho em link đk xét học bổng vingroup,Asking_docs
học bổng nhỏ nhất là bao nhiêu tiền?,Scholar
"ad owi, em muốn hỏi là nếu đỗ vào ngành tin học và kĩ thuật máy tính thì cần những giấy tờ nhập học gì", Enrollment
em muốn gửi hồ sơ nhập học thì gửi về địa chỉ nào?, Enrollment
câu của e là thế này,Denydisagree
em muốn hỏi chi tiết về ngành quản trị khách sạn ạ,Major_infor
email của cô lan là thế nào vậy ạ,contact_point
điểm chuẩn kinh doanh quốc tế tầm bao nhiêu ạ,Basic_point
e muốn nhờ tư vấn,Greetings
"ad ơi, em k biết địa chỉ nhập học của khoa mình là ở đâu ạ?", Enrollment
em muốn đk học bổng địa phương thì phải đáp ứng những học bổng gì ạ?,Scholar
kỹ năng viết trong kỳ thi ta giới hạn bao nhiêu chữ ạ,Eng_condition
anh chị cho em hỏi em học ngành kinh doanh quốc tế thì học tại cơ sở nào ạ ?,School_infor
học bổng của trường đh keuka là bao nhiêu vậy ạ?,Scholar
cô ơi ngành quản trị khách sạn có nhiều việc làm sau ra trường không ạ,Job_Opportunities
đh troy có những yc gì để chuyển tiếp,Major_infor
tham gia nckh thì kiến thức của em có lên k ạ?,Student_research
chỉ tiêu học bổng giỏi năm nay là bao nhiêu ạ?,Scholar
tín chỉ tính tiền việt hay đô ạ,Tuition_fee
"ad ơi, các đề tài nckh có hỗ trợ cho các môn học trên lớp của em k ạ?",Student_research
"ad ơi, em có thể đk học bằng kép những ngành gì bên trường đh luật ạ?",Major_infor
dạ ad cho em hỏi là khi nào k17 được phát thẻ sinh viên ạ ?,Other
trong phần mã ngành thì ghi mã dk của ac là gì vaauyy ạ,Major_infor
"ad ơi, ad hiểu nhầm ý em rôi",Denydisagree
hello,Greetings
chỉ tiêu ngành cử nhân kdqt năm 2019 là bn,Admission_method
cho e hỏi là quản lí về ngành nào a,Major_infor
quy trình nhập học gồm những bc nào, Enrollment
địa chỉ nhập học năm nay?, Enrollment
"ad owi, cho em xin các đề tài nckh năm nay của khoa mình đc ạ?",Student_research
năm nay e đc 27 điểm thì có đc nhận học bổng k ạ?,Scholar
cho e hỏi ca 1 buổi sáng là bắt đầu lúc mấy giờ ạ,Other
nckh có giúp tăng kĩ năng hoạt động nhóm ntn ạ?,Student_research
"chào thày/cô, em muốn hỏi điều kiện tuyển thẳng của khoa mình là ntn ạ",Admission_method
làm thủ tục nhập học thì gồm bao nhiêu công việc và thông tin chi tiết cho từng công việc ấy là ntn ạ?, Enrollment
"anh chị ơi cho em hỏi sdt của cô huệ , em cần gấp lắm ạ",contact_point
"bạn ơi, tl mình câu đó nhe",Other
hẹn gặp ad  hôm nhập hoc nhé,Bye
cho em hỏi sdt của chị bảo châu ạ,contact_point
tiểu ngành quản trị khách sạn thì nằm trong chuyên ngành nào ạ?,Major_infor
ai có thể giúp em giải đáp thắc mắc về việc nhập học ạ?, Enrollment
hình thức dk ntn ạ,Admission_method
năm nay chỉ tiêu ngành ib có phải là 250 sv k ạ?,Admission_method
năm nay khoa mình còn chương trình học bổng địa phương k ạ,Scholar
điểm dự năm nay trường sẽ lấy bao nhiêu và điểm năm 2015 vs 2016 là bao nhiêu ạ,Basic_point
e có hỏi về việc đấy đâu,Denydisagree
số lượng xét tuyển thẳng năm trước là bao nhiêu ạ?,Admission_method
yêu cầu ta tối thiểu bao nhiêu ạ nếu muốn chuyển tiếp ?,Major_infor
ad cho em hỏi là nếu em chưa nhận dc giấy gọi nhập học thì có đi làm thủ tục dc k ạ?cần những giấy tờ gì ạ?, Enrollment
cho em hỏi 1 tín ac bằng bao nhieu tièn,Tuition_fee
email của thầy thuận phó khoa là gì ạ,contact_point
những bc nhập học là gì ạ, Enrollment
vâng chuẩn rồi ad,Agree
học phí chuyển tiếp của trường đh help là bn hả ad?,Major_infor
"ad ơi, khoa mình có những hình thức xét tuyển gì ạ?",Admission_method
"a/c ơi, năm nay khoa mình có ddk xet học bổng là ntn ạ?",Scholar
em muốn liên hệ với thầy jason thì làm thé nào ạ,contact_point
điều kiện nhận học bổng khoa mình có khó k ad,Scholar
khoa mình định hướng nhiệm vụ gì ạ,School_infor
e muốn tìm hiểu ngành kinh doanh quốc tế ạ,Major_infor
rất mong nhận được thông tin,Other
"ad ơi, học phí chuyển tiếp từng năm của trường đh help là bn ạ?",Major_infor
trị giá cho mỗi suất học bổng tạ quang bửu là bao nhiêu vậy ad?,Scholar
ngành kế toán cần gpa bao nhiêu để dc chuyển tiếp,Major_infor
em hoàn thành hồ sơ và đến cơ sở nào để nộp ạ?, Enrollment
"ad ơi, em muốn hỏi về thời gian và địa điểm nhập học", Enrollment
chương trình help còn nhận hồ sơ xét tuyển thẳng k ạ?,Admission_method
chương trình bằng kép ngôn ngữ hàn thì học những môn gì,Major_infor
đại học keuka đào tạo những ngành j ac,Major_infor
trong phần mã ngành của khoa học quản lý ghi thế nào ạ,Major_infor
xin chào,Greetings
hello anh chị,Greetings
bye admin,Bye
ad tư vấn cho e đc k ạ,Greetings
ngành hệ thống thông tin học mấy năm ạ,Major_infor
ad ơi cho e hỏi chỉ tiêu tuyển thẳng của trường là bao nhiêu ạ?,Admission_method
e hỏi vs ạ,Greetings
ad cho e hỏi là học phí của khoa quốc tế này lf như thế nào ạ,Tuition_fee
add ơi cho e hỏi ngành kinh tế quốc tế của khoa quốc tế mình năm ngoái bn điểm ạ,Basic_point
ý k k phải như thế,Denydisagree
điểm rèn luyện phải đc bao nhiêu thì đc nhận học bổng ạ?,Scholar
"ad cho em hỏi, trường mình có cơ hội chuyển tiếp sang trường nào ạ?",Major_infor
giấy tờ cần thiết để nhập học là gì vậy ad, Enrollment
mis có những môn nào là môn chuyên ngành,Major_infor
các môn triết thì bao nhiêu tiền 1 tín chỉ ạ ?,Tuition_fee
em muốn ôn nhanh lịch sử với địa lý cả 3 khối cấp thì phải làm sao ạ!,Other
tỷ lệ giảng viên nước ngoài bao nhiêu phần trăm ?,Major_infor
"ad ơi,năm nay thi placement test vào ngày nào vậy ạ",Eng_condition
với ad cho e hỏi học phí của chương trình kế toán và ngành tin học học phí như thế nào ạ,Tuition_fee
sô lượng học bổng dành cho ngành mis năm nay là 13 ạ?,Scholar
thủ tục nhập học thì có phải mang theo học bạ k ạ, Enrollment
"số lượng sinh viên tuyển thẳng vào ngành kế toán, phân tích và kiểm toán là bao nhiêu ạ?",Admission_method
vay ho so de xet tuyen vao khoa thi can nhung gi ak ?, Enrollment
ielt bao nhiêu thifcos thể chuyển tieps ạ,Major_infor
ad có thể cho em thông tin chính xác có bao nhiêu suất học bổng khoa đã dành cho sinh viên năm ngoái ạ?,Scholar
xem thông tin mỗi tín chỉ ở đâu vậy ad,Tuition_fee
mai em về nước thì còn nhận hồ sơ nhập học k ạ?, Enrollment
em chie muốn hỏi thêm một chút thông tin về học phí của ngành ạ,Tuition_fee
điểm chuẩn đhqg cấp bằng cao hay các trường liên kết cao ạ,Basic_point
ad hiều rồi đó,Agree
ngành marketing năm nay mỗi tín chỉ bao nhiêu thé cô,Tuition_fee
