sentence,intent
gọi chị loan bằng số nào ạ,contact_point
email bộ môn khoa học công nghệ là gì thế ah ?,contact_point
cho em hỏi cách lien lạc với cô vân ạ,contact_point
số điện thoại cảu bộ môn tiếng anh dự bị là số bao nhiêu thế ạ,contact_point
cho em xin email cô huyền dạy ta với,contact_point
sđt khoa mình bao nhiêu thế ad ơi ?,contact_point
cho em cin địa chỉ fanpage khoa mình với ah,contact_point
sdt phòng đào tạo như thế nào vậy ak,contact_point
muốn liên hệ vs thầy tuấn thì gọi số nào ạ,contact_point
địa chi email khoa mình là gì vậy ạ,contact_point
cho em hỏi sdt của các câu lạc bộ trong khoa với ạ,contact_point
cho tooi sin sdt để tôi xin đc tư vấn về trường con tôi năm nay đang học lớp 11 ạ ?,contact_point
ad ơi lm thế nào để xin số cô sen bên kí túc ạ,contact_point
ad cho em sđt của cô yến/ cô ngọc hoa đc k ah,contact_point
làm tn để liên hệ vs quản lí kí túc xá ạ ?,contact_point
cho em hỏi email của thầy hưng dạy ib với ạ,contact_point
sdt của vp tuyển sinh là baoonhieeu ạ,contact_point
liên hệ với phòng đào tạo kiểu gì ạ,contact_point
làm tn để gọi cho cô phụ trách phonngf tài chính ạ,contact_point
cho tôi hỏi email của khoa quốc tế,contact_point
làm thế nào để liên hệ vs thầy hào ?,contact_point
cho em hỏi số đt phòng tuyển sinh để em xin tư vấn ạ,contact_point
địa chir gửi thư cụ thể của khoa là gì ?,contact_point
cho toôi xin sdt của phòng tuyển sinh,contact_point
gọi cho phòng đào tạo bằng số nào,contact_point
số đt của khoa quốc tế là bao nhiêu,contact_point
làm thé nào liên hệ với bộ môn khoa học xã hội thế ạ,contact_point
cho em xin số đt của các cô phòng tài chính với ạ,contact_point
em muôn hỏi về học phí thì liên hệ với ai,contact_point
email của thầy thuận phó khoa là gì ạ,contact_point
cho em xin email phòng công tác hssv ạ,contact_point
cho em xin số đt các thầy cô phòng tuyển sinh với ak,contact_point
ad ơi sdt của chị loan là gì ạ,contact_point
cho e hỏi email của cô thu dạy vi mô ạ,contact_point
anh chị cho em hỏi sdt của cô thiên hà với a,contact_point
liên hệ với thầy cô phụ trách phòng đào tạo kiểu gì ạ,contact_point
cho em xin số của anh quản lí clb tình nguyện ạ,contact_point
muốn liên hệ vs clb ishuffle thì gọi cho ai ạ,contact_point
cho chú xin sdt của phòng tuyển sinh với,contact_point
khoa ơi sđt của khoa quốc tế là gì ạ,contact_point
cho em hỏi sdt của chị bảo châu ạ,contact_point
làm thế nào liên lạc vs thầy tuấn anh giáo viên chủ nhiệm lớp mis ạ,contact_point
cho em xin email của phòng khoa học công nghệ ạ,contact_point
"anh chị ơi cho em hỏi sdt của cô huệ , em cần gấp lắm ạ",contact_point
cho em hoi sdt của các anh chị quản lí clb xem ở đâu ạ,contact_point
muốn hỏi lịch thi thì liê hệ vs ai ạ,contact_point
cho emxin sdt chính của khoa mình với ạ,contact_point
mail của thầy tiến là gì ạ,contact_point
ad ơi sdt của thầy mai anh là số nào ạ,contact_point
sdt của bí thư đoàn khoa mình là số nào ạ,contact_point
cho em hỏi ssdt của các thầy cô phòng tài chính vs ad,contact_point
làm sao để liên hệ được với thầy hoàng ac ạ,contact_point
email của cô lan là thế nào vậy ạ,contact_point
muốn liên hệ vs phòng tuyển sinh thì gọi cho ai ạ,contact_point
"làm thế nào để liên hệ dc với khoa ạ, gọi sdt nào ạ",contact_point
khoa mình có số ddienj thoại bao nhiêu ạ,contact_point
email bộ môn khoa học tự nhiên thế nào vậy a,contact_point
cho em xin cách liên lạc với thầy thành ạ,contact_point
liên hệ vs phụ trách câu lạc bộ isupport kiểu gì ah,contact_point
sdt câu lạc bộ tinh nguyện là số nào vậy chị,contact_point
muốn hỏi về vấn đề liên quan đến thư viện thì gọi cho ai vậy,contact_point
cô ơi email của các thầy cô chủ nhiệm các lớp là gì ạ,contact_point
cho em hoỏi sdt phòng tư vấn tuyển sinh,contact_point
làm sao để liên lạc dc với thầy đoàn,contact_point
"ad cho em hỏi sdt các thầy cô dạy triết 1 với ạ, em cảm ơn",contact_point
sdt phonhgf kế toán tài chính là gì ạ,contact_point
ad ơi liên hệ vs chị lao công theo số nào vậy,contact_point
thầy trưởng khoa dùng email nào vậy ạ,contact_point
hco em hỏi cách liên hệ vs phòng tuyển sinh với ad,contact_point
sdt anh phụ trách clb tình nguyện là gì ạ,contact_point
"ad ơi, cho em hỏi sdt của cô naomi dạy ta ạ",contact_point
hỏi về học phí thì gọi cho ai hay phòng nào vậy aj,contact_point
cho em xin email của thầy tuấn anh ạ,contact_point
số đt cô ngọc hoa là số nào a,contact_point
email phòng đào tạo là cái nào ạ,contact_point
muốn hỏi về chương trình liên kết gọi cho ai ạ,contact_point
cho em xin số điện của phòng tuyển sinh ạ,contact_point
sdt khoa quốc tế bao nhiêu vậy ạ,contact_point
làm sao để liên hệ với phòng công tác học sinh sv vây ạ,contact_point
em liên lạc với thầy thịnh bằng cách nào ạ,contact_point
ad có số của thầy thanh không em cần liên lạc với thầy ấy,contact_point
cho em xin địa chỉ liên hệ của cô trinh bộ môn kinh tế với ạ,contact_point
"mã ngành của ngành kế toán, phân tích kiểm toán là gì đấy ạ",Major_infor
cho e hỏi mã ngành tin học và kĩ thuật máy tính ạ,Major_infor
khoa có thể cho e mã ngành của ngành quản lý và ngành kinh doanh kế toán k ạ?,Major_infor
ngành quản lí thì ghi mã là gì ạ,Major_infor
ad cho e xin mã ngành của khoa đc k ạ,Major_infor
"ad ơi!cho e hỏi chỗ ghi ngành học trong sơ yếu lí lịch, e học kế toán,kiểm toán,phân tích mã ngành là gì ạ?",Major_infor
e muốn vào ngành quản lí đh keuka - hoa kỳ thì mã đăng kí là gì ạ,Major_infor
"ad cho e hỏi mã ngành của ngành kinh doanh quốc tế và ngành kết toán , phân tích và kiểm toán là gì ạh",Major_infor
ad cho e hoỉ mã ngành cuả kế toán kiểm toán với kinh doanh qtế dc k ạ,Major_infor
mã ngành kiểm toán phân tích và kế toán là j ạ,Major_infor
mã ngaành miss là gì ạ,Major_infor
cho e hỏi mã đăng kí của khoa mình là gì ạ ?,Major_infor
"e muốn đăng kí ib, ad cho e hỏi mà ngành là bao nhiu?",Major_infor
mã ngahf kh quản lí là bao nhiêu ak,Major_infor
"ad ơi, cho em hỏi mã đăng kí của chương trình ac ạ",Major_infor
cho em hỏi ngành ice có mã ngành bao nhiêu ạ ?,Major_infor
chương trình liên kết có cần mã ngành k ad ?,Major_infor
khoa học quan lyz mã ngành bao nhiêu ạ thưa cô,Major_infor
mã ngành chương trình lk là gì ạ,Major_infor
khoa mình có bnhieu mã ngành ah,Major_infor
mã ngành có dài không ạ ?,Major_infor
em muốn hỏi mã dăng ký cảu htttt ạ,Major_infor
ngành ké toán thì mẫ ngành là gì ạ,Major_infor
ad ơi ib thì ghi mã ngành thé nào ạ?,Major_infor
các chương trình liên kết có mã ngành bao nhiêu ạ,Major_infor
liên kết dh troy mã ngành thế nào ạ ?,Major_infor
cho em hỏi mã ngành của tin học kỹ thuật để em ghi hồ sơ ạ3,Major_infor
mã ngành có giống năm trước ko ạ,Major_infor
mã ngành gồm cả số và chữ ạ ?,Major_infor
ad giúp em vs cho em hỏi mã ngành ghi vào hồ sơ là gì ạ?,Major_infor
xem mã ngành ở đâu ak ?,Major_infor
hệ thống thông tin mã ngành la gif thế ạ ?,Major_infor
khoa mình có mấy mã ngành ạ,Major_infor
ngành kiểm toán mã ngành là gì ạ,Major_infor
mã ngành có thày đổi không admin ?,Major_infor
cho em hỏi em đăng ký thi kế toán thì ghi mã ngành ntn,Major_infor
trong phần mã ngành thì ghi cái gì ạ ?,Major_infor
cho em hỏi mã dăng kí của ngành quản lý,Major_infor
đại học help có mã ngành là bao nhiêu ạ,Major_infor
kinh doanh qt thì ghi mã ngành bnhieu ak,Major_infor
ice thì mã nganh thế nào ad ơi ?,Major_infor
khoa mình ghi mã ngành ntn ạ?,Major_infor
mã ngành các ctrinh liên kết như tn ạ ?,Major_infor
khoa quôc tế đh qg hn thì ghi mã ngành các ngành thế nào ad,Major_infor
muon xem mã ngành thì vào chỗ nào ah,Major_infor
mã ngành viết vào hồ sơ cảu ib là gì ạ,Major_infor
mã ngành năm ngoái cảu kế toán kiểm toán là gì ạ,Major_infor
trong phần mã ngành của khoa học quản lý ghi thế nào ạ,Major_infor
"em chào thầy cô ạ, cho em hỏi mã ngành của chương trình icce-tin học kỹ thuật ạ ?",Major_infor
em muốn hỏi mã ngành của ngành liên kết qt ạ ?,Major_infor
tìm mã ngah ở đâu vậy ạ ?,Major_infor
mã ngành của mis viết tắt của từ gì ý ạ,Major_infor
cho em hỏi mã ngành ghi trong hồ sơ củaaclà gì ạ,Major_infor
khi nào có mã ngành mới của năm nay ạ,Major_infor
mã xét tuyển của đh troy là gì ạ,Major_infor
liên kết vs đại học malaayxia ghi ãm ngành thé nào ạ ?,Major_infor
kinh doanh ghi mã xét tuyển thé nào ạ?,Major_infor
khi nào trên fanpage có mã ngành năm nay ạ,Major_infor
khoa cho em hỏi muốn dky học liên kết thì ghi mã xet tuyển ntn ạ,Major_infor
năm nay có mã ngành mới chwua ạ,Major_infor
nagnhf ice có ma ngahf bao nhiu vậy ạ ?,Major_infor
khoa qt cho em hỏi mã xét tuyển của ngành quản lí thông tin ạ,Major_infor
mã đăng ký ngành kinh doanh qt năm nay là gì ạ?,Major_infor
trong phần mã ngành thì ghi mã dk của ac là gì vaauyy ạ,Major_infor
cho em xin mã đăng ký của ib ạ,Major_infor
hệ thống tt thì ghi mã xết tuyển bao nhiêu thế ah?,Major_infor
"thầy cô ơi, mã xét tuyển của chương trình kế toán kiểm toán là gì ạ",Major_infor
cho em hỏi mã ngành liên kết đh nước ngoài ạ,Major_infor
mã xét tuyển các ngành của khoa ;là gì ạ,Major_infor
max ngành ib hthe nào ạ,Major_infor
tìm ma ngành ở trang nào ạ,Major_infor
bao h khoa có mã ngành kinh doanh qt ạ,Major_infor
khoahocj ql thì ghi mã xét tuyển ntn ạ,Major_infor
mã đăng kí của miss là gì ạ,Major_infor
em muốn hỏi mã ngành của ibb ạ,Major_infor
khoa cho em hỏi các ctrinh lien kết có mã xét tuyển bao nhieu ạ,Major_infor
mis thì mã đăng ký xét tuyển bao nhiêu ạ,Major_infor
em nộp hso kế toán kiểm toán vậy cho em hỏi mã ngành ạ,Major_infor
chương trình quản lý thông tin có mã xét tuyển ntn ạ ?,Major_infor
em muốn biết mã xét tuyển cauwr kế toán ạ,Major_infor
miis thì ghi mã xét tuyển bao nhiêu vậy ạ?,Major_infor
cho tôi hỏi mã ngành thì ghi thế nào?,Major_infor
các trường đh lien kết có mã ngành ra sao vậy ạ?,Major_infor
admin ơi ngành tin học kĩ thuạt năm nay ghi mã xét tuyển thế nào vậy?,Major_infor
ngành hệ thông tông tin có mã ngành chwua ad ơi,Major_infor
em muốn hỏi trong phần mã ngành của khoa học quản lý thì ghi ntn ạ ?,Major_infor
khoa quôốc tế cho em hỏi bao giờ thì cập nhật mã xét tuyển ạ,Major_infor
kinh doanh quốc tế thì ghi mã bao nhiuu ạ,Major_infor
em muốn biết chương trình do các truowgnf nước ngoài cấp bằng ghi mã đăng ký thế nào ạ,Major_infor
mã ngành của ice năm nay viết tn vậy ạ?,Major_infor
ac thì mã xét tuyển thé nào vậy khoa qt,Major_infor
cho em xin mã xét tuyển của kinh doanh quốc tế với ạ,Major_infor
em chuẩn bị nộp hso ngành tin học và kỹ thuật vậy mã xét tuyen ghi bao nhiêu là đugns ạ,Major_infor
mã xét tuyển của ngành mis thì ghi là gì ạ,Major_infor
"chương trình troy ghi mã cấp bằng là gì, em ko biết",Major_infor
"em ko rõ ngành thể thao khách sạn du lịch thì ghi mã ngành là gì, hay bỏ trống vậy ad",Major_infor
ad cho em xin mã ngành của ice nhé,Major_infor
học quản trị khách sạn thể thao du lịch lộ trình ntn bạn ơi,Major_infor
em muốn hỏi chi tiết về ngành quản trị khách sạn ạ,Major_infor
cho em hỏi thêm về ngành kinh doanh quốc tế của khoa,Major_infor
e đang qtam đến kế toán và tài chính c ạ,Major_infor
ad cho em hỏi tin học kĩ thuật máy tính là ngành liên kết hay là của đại học quốc gia,Major_infor
e tưởng ngành kinh doanh quốc tế là do đại học nào cấp bằng ạ ?,Major_infor
em dự định sẽ học ngành đó nên rất muốn ngành đó học về cái gì ạ,Major_infor
em muốn hoc ngành kế toán thì cần học những môn gì ạ,Major_infor
e mún hỏi ngành kinh doanh quốc tế ạ,Major_infor
năm nay e lên lớp 12 và e rất quan tâm đến ngành quản trị khách sạn ạ anh chị có thể tư vấn cho e được ko ạ,Major_infor
cho em hỏi ngành kinh doanh quốc tế được học những gì ạ,Major_infor
c cho e biết điểm mạnh của người học ngành kinh doanh quốc tế với,Major_infor
em muốn hỏi về ngành kdqt ạ,Major_infor
kinh doanh quốc tế là học về gì thế ạ,Major_infor
e muốn hỏi về ngành học của khoa mình đc á,Major_infor
cho e hỏi ngành kinh doanh quốc tế là học gì ạ??,Major_infor
em có dự định học ở trường mình ngành quản trị khách sạn ạ ad nói rõ hơn về ngành này giúp em vs ạ,Major_infor
em muốn hỏi một chút về các ngành học của khoa ý,Major_infor
cụ thể là hai ngành kinh doanh quốc tế và hệ thống thông tin quản lý ạ là học những gì ạ,Major_infor
sau khi ad đọc tin nhắn thì hãy trả lời câu hỏi của e với ạ: chuyên ngành kinh doanh quốc tế ( đào tạo tiếng anh) của khoa mình thì học những gì và ra làm những gì ạ?,Major_infor
vậy khoa kinh doanh quốc tế sẽ do trường nuoc ngoài nao cấp bằmg ạ,Major_infor
ngành kinh tế quốc tế và kế toán ạ lộ trình học tn ạ,Major_infor
chương trình đào tạo bằng do đhqg cấp ngành kế toán phân tích và kiểm toán ý ạ học chủ yêu về cai gì ạ,Major_infor
ngành kinh tế quốc tế ý ạ ad có thể cho em thêm thông tin dc không ạ,Major_infor
muốn học khoa kinh doanh quốc tế thì học trong bao lâu ạ,Major_infor
cho e hỏi là quản lí về ngành nào a,Major_infor
về ngành quản lí đấy add có thể giải thich cho e hiểu hơn về chuyên ngành này được ko ạ?,Major_infor
e thấy có 2 nghành :kkees toán phân tích kiểm toán và hệ thống thông tin quản lí. vậy nghành ice thì ntn ak,Major_infor
cho em hỏi ngành kinh doanh quốc tế có phải là ngành mới của trường ko ạ?,Major_infor
cho e hỏi khoa quốc tế hok về những cái j z ạ,Major_infor
và cho em hỏi thêm về ngành kinh doanh quốc tế vs ạ. ngành ý sẽ học những gì và mai sau ra sẽ làm gì ạ ? em cảm ơn ạ,Major_infor
cho e hỏi ngành kế toán liên kết ntn ạ,Major_infor
em muốn hỏi ngành kinh doanh quốc tế ạ,Major_infor
ad ơi ngành kinh doanh quốc tế của đhqghn ko thuộc khoa kinh tế ạ,Major_infor
e muốn hỏi của ngành kinh doanh quốc tế ạ,Major_infor
e quan tâm đến kinh doanh quốc tế của trg mk ạ,Major_infor
e muon tim hieu ve nganh tieng anh kinh doanh quoc te va nganh quan tri kinh doanh,Major_infor
ngành quản trị du lịch với quản trị khách sạn thì sao ạ?,Major_infor
ngành ac có liên kết vs đh nước ngoài k ạ?,Major_infor
